response,propensity_score,result_financeiro,result_acumulado
0,0.9853763,-399,-399
1,0.98259234,5864,5465
0,0.9825593,-399,5066
0,0.98202205,-399,4667
0,0.98097044,-399,4268
0,0.9808873,-399,3869
1,0.9807037,5864,9733
1,0.9804853,5864,15597
0,0.9804467,-399,15198
0,0.9795798,-399,14799
1,0.9766774,5864,20663
0,0.9763981,-399,20264
0,0.97554475,-399,19865
0,0.9747239,-399,19466
1,0.9735665,5864,25330
1,0.9692749,5864,31194
1,0.96917903,5864,37058
0,0.96877384,-399,36659
0,0.94571954,-399,36260
0,0.9429339,-399,35861
0,0.94284713,-399,35462
0,0.9408283,-399,35063
0,0.9376749,-399,34664
1,0.9338601,5864,40528
0,0.9317667,-399,40129
0,0.9310697,-399,39730
0,0.9283631,-399,39331
1,0.9259963,5864,45195
0,0.92478174,-399,44796
1,0.92390263,5864,50660
0,0.9238464,-399,50261
0,0.9200258,-399,49862
1,0.9148265,5864,55726
0,0.9146082,-399,55327
1,0.91459924,5864,61191
0,0.9128938,-399,60792
0,0.91063654,-399,60393
1,0.9098614,5864,66257
0,0.9094478,-399,65858
0,0.90939087,-399,65459
1,0.90908426,5864,71323
1,0.9087504,5864,77187
0,0.9085951,-399,76788
1,0.90804327,5864,82652
0,0.9077352,-399,82253
1,0.90770596,5864,88117
0,0.9067691,-399,87718
1,0.9064345,5864,93582
1,0.90639013,5864,99446
0,0.906185,-399,99047
0,0.9060592,-399,98648
0,0.90576786,-399,98249
0,0.9048935,-399,97850
0,0.9046856,-399,97451
0,0.90467536,-399,97052
0,0.90456635,-399,96653
1,0.90453464,5864,102517
0,0.9044061,-399,102118
0,0.9044061,-399,101719
1,0.9038993,5864,107583
1,0.9034596,5864,113447
0,0.9030629,-399,113048
0,0.9029681,-399,112649
1,0.90282094,5864,118513
0,0.90237033,-399,118114
0,0.90202945,-399,117715
0,0.9017253,-399,117316
1,0.90166354,5864,123180
1,0.90155476,5864,129044
0,0.9015511,-399,128645
1,0.9015376,5864,134509
1,0.90144944,5864,140373
0,0.90115505,-399,139974
1,0.90079033,5864,145838
1,0.90069747,5864,151702
0,0.90044814,-399,151303
1,0.9003248,5864,157167
0,0.8999958,-399,156768
1,0.8996913,5864,162632
0,0.89966524,-399,162233
1,0.8996428,5864,168097
1,0.89945936,5864,173961
0,0.89930767,-399,173562
0,0.89930767,-399,173163
0,0.89930767,-399,172764
1,0.89885575,5864,178628
1,0.8987804,5864,184492
1,0.8986375,5864,190356
0,0.89851797,-399,189957
0,0.89844656,-399,189558
1,0.898342,5864,195422
1,0.8982709,5864,201286
0,0.89826417,-399,200887
1,0.89822227,5864,206751
0,0.898193,-399,206352
1,0.8981428,5864,212216
1,0.8981267,5864,218080
0,0.89795804,-399,217681
1,0.89795804,5864,223545
0,0.8977859,-399,223146
1,0.89771146,5864,229010
0,0.8973345,-399,228611
1,0.89730024,5864,234475
1,0.89725447,5864,240339
0,0.8971715,-399,239940
0,0.89713365,-399,239541
0,0.89705914,-399,239142
0,0.89704025,-399,238743
0,0.8970005,-399,238344
0,0.8969979,-399,237945
1,0.8967464,5864,243809
1,0.89672726,5864,249673
0,0.89666754,-399,249274
0,0.8966543,-399,248875
0,0.89657277,-399,248476
0,0.89650434,-399,248077
0,0.89639854,-399,247678
0,0.89634484,-399,247279
0,0.89634156,-399,246880
0,0.8962801,-399,246481
1,0.8961601,5864,252345
1,0.89604753,5864,258209
1,0.89553815,5864,264073
1,0.8955071,5864,269937
1,0.89533925,5864,275801
0,0.89524114,-399,275402
1,0.8952052,5864,281266
1,0.8950684,5864,287130
1,0.8950424,5864,292994
1,0.89503825,5864,298858
1,0.89495194,5864,304722
0,0.89478505,-399,304323
0,0.8947648,-399,303924
0,0.8947076,-399,303525
0,0.8946728,-399,303126
0,0.8946493,-399,302727
0,0.89460033,-399,302328
0,0.8944736,-399,301929
1,0.89446753,5864,307793
1,0.8941411,5864,313657
1,0.89412564,5864,319521
0,0.89411545,-399,319122
0,0.8941118,-399,318723
1,0.8941016,5864,324587
0,0.89406836,-399,324188
0,0.8940112,-399,323789
0,0.8940032,-399,323390
0,0.8939394,-399,322991
0,0.8939064,-399,322592
1,0.89387536,5864,328456
0,0.8937118,-399,328057
0,0.8936177,-399,327658
1,0.8936177,5864,333522
0,0.8935514,-399,333123
0,0.8933485,-399,332724
0,0.89333457,-399,332325
0,0.8933314,-399,331926
0,0.89323866,-399,331527
0,0.8931927,-399,331128
1,0.8931917,5864,336992
1,0.8929115,5864,342856
0,0.8929115,-399,342457
0,0.8927376,-399,342058
1,0.89273524,5864,347922
0,0.8926817,-399,347523
0,0.8926564,-399,347124
0,0.8926121,-399,346725
1,0.8925733,5864,352589
0,0.89243984,-399,352190
1,0.8924091,5864,358054
0,0.89238477,-399,357655
0,0.8923753,-399,357256
0,0.89233315,-399,356857
0,0.89232725,-399,356458
1,0.8922527,5864,362322
1,0.89206415,5864,368186
0,0.8918565,-399,367787
0,0.8918449,-399,367388
1,0.89164245,5864,373252
1,0.8915597,5864,379116
1,0.89154303,5864,384980
1,0.8915017,5864,390844
0,0.89141214,-399,390445
0,0.89114213,-399,390046
0,0.8911325,-399,389647
0,0.8910653,-399,389248
1,0.89089185,5864,395112
1,0.8908187,5864,400976
0,0.8906785,-399,400577
1,0.890462,5864,406441
1,0.8904539,5864,412305
1,0.8904539,5864,418169
