response,result_financeiro,result_acumulado
0,-399,-399
0,-399,-798
0,-399,-1197
1,5864,4667
0,-399,4268
0,-399,3869
0,-399,3470
0,-399,3071
0,-399,2672
0,-399,2273
0,-399,1874
0,-399,1475
0,-399,1076
1,5864,6940
0,-399,6541
0,-399,6142
0,-399,5743
0,-399,5344
0,-399,4945
0,-399,4546
0,-399,4147
0,-399,3748
0,-399,3349
0,-399,2950
0,-399,2551
0,-399,2152
1,5864,8016
0,-399,7617
0,-399,7218
0,-399,6819
0,-399,6420
0,-399,6021
1,5864,11885
0,-399,11486
0,-399,11087
0,-399,10688
0,-399,10289
1,5864,16153
0,-399,15754
0,-399,15355
0,-399,14956
0,-399,14557
0,-399,14158
0,-399,13759
0,-399,13360
1,5864,19224
0,-399,18825
0,-399,18426
0,-399,18027
0,-399,17628
0,-399,17229
0,-399,16830
1,5864,22694
0,-399,22295
0,-399,21896
1,5864,27760
0,-399,27361
0,-399,26962
0,-399,26563
1,5864,32427
0,-399,32028
0,-399,31629
0,-399,31230
0,-399,30831
0,-399,30432
0,-399,30033
0,-399,29634
0,-399,29235
0,-399,28836
0,-399,28437
0,-399,28038
0,-399,27639
0,-399,27240
0,-399,26841
0,-399,26442
0,-399,26043
0,-399,25644
0,-399,25245
0,-399,24846
0,-399,24447
0,-399,24048
0,-399,23649
0,-399,23250
1,5864,29114
0,-399,28715
0,-399,28316
0,-399,27917
0,-399,27518
0,-399,27119
0,-399,26720
0,-399,26321
0,-399,25922
0,-399,25523
0,-399,25124
0,-399,24725
0,-399,24326
0,-399,23927
0,-399,23528
0,-399,23129
0,-399,22730
0,-399,22331
0,-399,21932
0,-399,21533
0,-399,21134
0,-399,20735
0,-399,20336
0,-399,19937
0,-399,19538
0,-399,19139
0,-399,18740
0,-399,18341
1,5864,24205
0,-399,23806
0,-399,23407
1,5864,29271
0,-399,28872
0,-399,28473
0,-399,28074
0,-399,27675
0,-399,27276
0,-399,26877
0,-399,26478
0,-399,26079
0,-399,25680
1,5864,31544
0,-399,31145
0,-399,30746
1,5864,36610
0,-399,36211
0,-399,35812
0,-399,35413
0,-399,35014
0,-399,34615
1,5864,40479
0,-399,40080
0,-399,39681
0,-399,39282
0,-399,38883
0,-399,38484
0,-399,38085
0,-399,37686
0,-399,37287
0,-399,36888
0,-399,36489
0,-399,36090
0,-399,35691
0,-399,35292
0,-399,34893
1,5864,40757
0,-399,40358
1,5864,46222
0,-399,45823
0,-399,45424
1,5864,51288
0,-399,50889
0,-399,50490
0,-399,50091
0,-399,49692
0,-399,49293
0,-399,48894
0,-399,48495
0,-399,48096
0,-399,47697
0,-399,47298
0,-399,46899
0,-399,46500
0,-399,46101
0,-399,45702
0,-399,45303
0,-399,44904
1,5864,50768
1,5864,56632
0,-399,56233
0,-399,55834
0,-399,55435
0,-399,55036
0,-399,54637
1,5864,60501
0,-399,60102
0,-399,59703
0,-399,59304
1,5864,65168
0,-399,64769
0,-399,64370
0,-399,63971
0,-399,63572
0,-399,63173
0,-399,62774
0,-399,62375
0,-399,61976
0,-399,61577
1,5864,67441
0,-399,67042
0,-399,66643
0,-399,66244
0,-399,65845
0,-399,65446
0,-399,65047
0,-399,64648
0,-399,64249
0,-399,63850
1,5864,69714
1,5864,75578
0,-399,75179
0,-399,74780
0,-399,74381
0,-399,73982
0,-399,73583
1,5864,79447
0,-399,79048
0,-399,78649
0,-399,78250
0,-399,77851
1,5864,83715
0,-399,83316
0,-399,82917
0,-399,82518
0,-399,82119
0,-399,81720
0,-399,81321
0,-399,80922
0,-399,80523
0,-399,80124
0,-399,79725
0,-399,79326
0,-399,78927
0,-399,78528
0,-399,78129
0,-399,77730
1,5864,83594
0,-399,83195
1,5864,89059
0,-399,88660
0,-399,88261
0,-399,87862
0,-399,87463
0,-399,87064
0,-399,86665
0,-399,86266
0,-399,85867
0,-399,85468
0,-399,85069
0,-399,84670
1,5864,90534
1,5864,96398
0,-399,95999
0,-399,95600
1,5864,101464
0,-399,101065
0,-399,100666
0,-399,100267
0,-399,99868
0,-399,99469
0,-399,99070
0,-399,98671
1,5864,104535
0,-399,104136
0,-399,103737
0,-399,103338
0,-399,102939
0,-399,102540
1,5864,108404
0,-399,108005
0,-399,107606
0,-399,107207
0,-399,106808
1,5864,112672
0,-399,112273
0,-399,111874
1,5864,117738
0,-399,117339
0,-399,116940
